SRARunAccession	SRAFileUrl
SRR28675275	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675275/SRR28675275.1;https://sra-pub-src-2.s3.amazonaws.com/SRR28675275/PAE49128_pass_79a6c48c_156.fast5.1
SRR28675276	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675276/SRR28675276.1;https://sra-pub-src-2.s3.amazonaws.com/SRR28675276/PAE49128_pass_79a6c48c_137.fast5.1
SRR28675277	https://sra-pub-src-2.s3.amazonaws.com/SRR28675277/PAE49128_pass_79a6c48c_136.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675277/SRR28675277.1
SRR28675278	https://sra-pub-src-2.s3.amazonaws.com/SRR28675278/PAE49128_pass_79a6c48c_135.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675278/SRR28675278.1
SRR28675279	https://sra-pub-src-2.s3.amazonaws.com/SRR28675279/PAE49128_pass_79a6c48c_152.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675279/SRR28675279.1
SRR28675280	https://sra-pub-src-2.s3.amazonaws.com/SRR28675280/PAE49128_pass_79a6c48c_151.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675280/SRR28675280.1
SRR28675281	https://sra-pub-src-2.s3.amazonaws.com/SRR28675281/PAE49128_pass_79a6c48c_150.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675281/SRR28675281.1
SRR28675283	https://sra-pub-src-2.s3.amazonaws.com/SRR28675283/PAE49128_pass_79a6c48c_149.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675283/SRR28675283.1
SRR28675284	https://sra-pub-src-2.s3.amazonaws.com/SRR28675284/PAE49128_pass_79a6c48c_88.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675284/SRR28675284.1
SRR28675285	https://sra-pub-src-2.s3.amazonaws.com/SRR28675285/PAE49128_pass_79a6c48c_87.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675285/SRR28675285.1
SRR28675286	https://sra-pub-src-2.s3.amazonaws.com/SRR28675286/PAE49128_pass_79a6c48c_86.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675286/SRR28675286.1
SRR28675287	https://sra-pub-src-2.s3.amazonaws.com/SRR28675287/PAE49128_pass_0c2fd855_125.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675287/SRR28675287.1
SRR28675288	https://sra-pub-src-2.s3.amazonaws.com/SRR28675288/PAE49128_pass_0c2fd855_132.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675288/SRR28675288.1
SRR28675289	https://sra-pub-src-2.s3.amazonaws.com/SRR28675289/PAE49128_pass_0c2fd855_100.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675289/SRR28675289.1
SRR28675290	https://sra-pub-src-2.s3.amazonaws.com/SRR28675290/PAE49128_pass_79a6c48c_85.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675290/SRR28675290.1
SRR28675291	https://sra-pub-src-2.s3.amazonaws.com/SRR28675291/PAE49128_pass_79a6c48c_84.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675291/SRR28675291.1
SRR28675292	https://sra-pub-src-2.s3.amazonaws.com/SRR28675292/PAE49128_pass_79a6c48c_83.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675292/SRR28675292.1
SRR28675293	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675293/SRR28675293.1;https://sra-pub-src-2.s3.amazonaws.com/SRR28675293/PAE49128_pass_79a6c48c_81.fast5.1
SRR28675294	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675294/SRR28675294.1;https://sra-pub-src-2.s3.amazonaws.com/SRR28675294/PAE49128_pass_79a6c48c_80.fast5.1
SRR28675295	https://sra-pub-src-2.s3.amazonaws.com/SRR28675295/PAE49128_pass_79a6c48c_64.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675295/SRR28675295.1
SRR28675296	https://sra-pub-src-2.s3.amazonaws.com/SRR28675296/PAE49128_pass_79a6c48c_63.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675296/SRR28675296.1
SRR28675297	https://sra-pub-src-2.s3.amazonaws.com/SRR28675297/PAE49128_pass_79a6c48c_62.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675297/SRR28675297.1
SRR28675298	https://sra-pub-src-2.s3.amazonaws.com/SRR28675298/PAE49128_pass_79a6c48c_8.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675298/SRR28675298.1
SRR28675299	https://sra-pub-src-2.s3.amazonaws.com/SRR28675299/PAE49128_pass_79a6c48c_79.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675299/SRR28675299.1
SRR28675300	https://sra-pub-src-2.s3.amazonaws.com/SRR28675300/PAE49128_pass_79a6c48c_78.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675300/SRR28675300.1
SRR28675301	https://sra-pub-src-2.s3.amazonaws.com/SRR28675301/PAE49128_pass_79a6c48c_77.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675301/SRR28675301.1
SRR28675302	https://sra-pub-src-2.s3.amazonaws.com/SRR28675302/PAE49128_pass_0c2fd855_124.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675302/SRR28675302.1
SRR28675303	https://sra-pub-src-2.s3.amazonaws.com/SRR28675303/PAE49128_pass_79a6c48c_76.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675303/SRR28675303.1
SRR28675304	https://sra-pub-src-2.s3.amazonaws.com/SRR28675304/PAE49128_pass_79a6c48c_75.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675304/SRR28675304.1
SRR28675305	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675305/SRR28675305.1;https://sra-pub-src-2.s3.amazonaws.com/SRR28675305/PAE49128_pass_79a6c48c_74.fast5.1
SRR28675307	https://sra-pub-src-2.s3.amazonaws.com/SRR28675307/PAE49128_pass_79a6c48c_72.fast5.1;https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR028/28675/SRR28675307/SRR28675307.1
